地点,事故原因,具体原因,事故次数
#2管线,自然灾害,闪电,2
#2管线,自然灾害,其他灾害,0
#3管线,设备故障,泵/压缩机,2
#3管线,设备故障,阀门,3
#3管线,设备故障,其他设备故障,2
#3管线,第三方活动,高压电,11
#3管线,第三方活动,重压,5
#3管线,第三方活动,河运,2
#3管线,第三方活动,除挖掘外的运输/其他设备活动,9
#3管线,第三方活动,机械挖掘,2
#3管线,第三方活动,其他活动,4
#3管线,腐蚀,应力腐蚀,1
#3管线,腐蚀,内部腐蚀,3
#3管线,腐蚀,外部腐蚀,1
#3管线,腐蚀,其他腐蚀,1
#3管线,机械故障,支撑物故障,1
#3管线,机械故障,老化,4
#3管线,机械故障,建造缺陷,3
#3管线,机械故障,超压,6
#3管线,机械故障,材料缺陷,6
#3管线,机械故障,焊接不良,6
#3管线,机械故障,其他故障,2
#3管线,操作失误,关闭,6
#3管线,操作失误,压力测试,6
#3管线,操作失误,清管作业,6
#3管线,操作失误,阀门操作,9
#3管线,操作失误,维修/保养,10
#3管线,操作失误,报废,9
#3管线,操作失误,日常操作,5
#3管线,操作失误,启动,5
#3管线,操作失误,其他操作,5
#3管线,自然灾害,低温天气,5
#3管线,自然灾害,侵蚀,5
#3管线,自然灾害,暴雨,5
#3管线,自然灾害,泥石流,5
#3管线,自然灾害,洪水,5
#3管线,自然灾害,闪电,4
#3管线,自然灾害,其他灾害,1
#4管线,设备故障,泵/压缩机,3
#4管线,设备故障,阀门,3
#4管线,设备故障,其他设备故障,0
#4管线,第三方活动,高压电,8
#4管线,第三方活动,重压,9
#4管线,第三方活动,河运,9
#4管线,第三方活动,除挖掘外的运输/其他设备活动,12
#4管线,第三方活动,机械挖掘,4
#4管线,第三方活动,其他活动,8
#4管线,腐蚀,应力腐蚀,2
#4管线,腐蚀,内部腐蚀,2
#4管线,腐蚀,外部腐蚀,1
#4管线,腐蚀,其他腐蚀,2
#4管线,机械故障,支撑物故障,2
#4管线,机械故障,老化,0
#4管线,机械故障,建造缺陷,1
#4管线,机械故障,超压,3
#4管线,机械故障,材料缺陷,5
#4管线,机械故障,焊接不良,1
#4管线,机械故障,其他故障,0
#4管线,操作失误,关闭,2
#4管线,操作失误,压力测试,9
#4管线,操作失误,清管作业,3
#4管线,操作失误,阀门操作,5
#4管线,操作失误,维修/保养,2
#4管线,操作失误,报废,3
#4管线,操作失误,日常操作,0
#4管线,操作失误,启动,2
#4管线,操作失误,其他操作,6
#4管线,自然灾害,低温天气,10
#4管线,自然灾害,侵蚀,0
#4管线,自然灾害,暴雨,2
#4管线,自然灾害,泥石流,4
#4管线,自然灾害,洪水,5
#4管线,自然灾害,闪电,2
#4管线,自然灾害,其他灾害,1
曼德勒分输站,设备故障,泵/压缩机,3
曼德勒分输站,设备故障,阀门,5
曼德勒分输站,设备故障,其他设备故障,6
曼德勒分输站,第三方活动,高压电,6
曼德勒分输站,第三方活动,重压,12
曼德勒分输站,第三方活动,河运,5
曼德勒分输站,第三方活动,除挖掘外的运输/其他设备活动,4
曼德勒分输站,第三方活动,机械挖掘,3
曼德勒分输站,第三方活动,其他活动,5
曼德勒分输站,腐蚀,应力腐蚀,2
曼德勒分输站,腐蚀,内部腐蚀,2
曼德勒分输站,腐蚀,外部腐蚀,2
曼德勒分输站,腐蚀,其他腐蚀,1
曼德勒分输站,机械故障,支撑物故障,2
曼德勒分输站,机械故障,老化,2
曼德勒分输站,机械故障,建造缺陷,1
曼德勒分输站,机械故障,超压,2
曼德勒分输站,机械故障,材料缺陷,2
曼德勒分输站,机械故障,焊接不良,0
曼德勒分输站,机械故障,其他故障,1
曼德勒分输站,操作失误,关闭,3
曼德勒分输站,操作失误,压力测试,5
曼德勒分输站,操作失误,清管作业,1
曼德勒分输站,操作失误,阀门操作,0
曼德勒分输站,操作失误,维修/保养,2
曼德勒分输站,操作失误,报废,9
曼德勒分输站,操作失误,日常操作,3
曼德勒分输站,操作失误,启动,5
曼德勒分输站,操作失误,其他操作,2
曼德勒分输站,自然灾害,低温天气,3
曼德勒分输站,自然灾害,侵蚀,0
曼德勒分输站,自然灾害,暴雨,2
曼德勒分输站,自然灾害,泥石流,6
曼德勒分输站,自然灾害,洪水,10
曼德勒分输站,自然灾害,闪电,0
曼德勒分输站,自然灾害,其他灾害,2
当达分输站,设备故障,泵/压缩机,4
当达分输站,设备故障,阀门,5
当达分输站,设备故障,其他设备故障,2
当达分输站,第三方活动,高压电,1
当达分输站,第三方活动,重压,3
当达分输站,第三方活动,河运,5
当达分输站,第三方活动,除挖掘外的运输/其他设备活动,6
当达分输站,第三方活动,机械挖掘,6
当达分输站,第三方活动,其他活动,12
当达分输站,腐蚀,应力腐蚀,5
当达分输站,腐蚀,内部腐蚀,4
当达分输站,腐蚀,外部腐蚀,3
当达分输站,腐蚀,其他腐蚀,5
当达分输站,机械故障,支撑物故障,2
当达分输站,机械故障,老化,2
当达分输站,机械故障,建造缺陷,2
当达分输站,机械故障,超压,1
当达分输站,机械故障,材料缺陷,2
当达分输站,机械故障,焊接不良,2
当达分输站,机械故障,其他故障,1
当达分输站,操作失误,关闭,2
当达分输站,操作失误,压力测试,2
当达分输站,操作失误,清管作业,0
当达分输站,操作失误,阀门操作,1
当达分输站,操作失误,维修/保养,3
当达分输站,操作失误,报废,5
当达分输站,操作失误,日常操作,1
当达分输站,操作失误,启动,0
当达分输站,操作失误,其他操作,2
当达分输站,自然灾害,低温天气,9
当达分输站,自然灾害,侵蚀,3
当达分输站,自然灾害,暴雨,5
当达分输站,自然灾害,泥石流,2
当达分输站,自然灾害,洪水,3
当达分输站,自然灾害,闪电,0
当达分输站,自然灾害,其他灾害,2
仁安羌分输压气站,设备故障,泵/压缩机,6
仁安羌分输压气站,设备故障,阀门,10
仁安羌分输压气站,设备故障,其他设备故障,0
仁安羌分输压气站,第三方活动,高压电,2
仁安羌分输压气站,第三方活动,重压,4
仁安羌分输压气站,第三方活动,河运,5
仁安羌分输压气站,第三方活动,除挖掘外的运输/其他设备活动,2
仁安羌分输压气站,第三方活动,机械挖掘,1
仁安羌分输压气站,第三方活动,其他活动,3
仁安羌分输压气站,腐蚀,应力腐蚀,5
仁安羌分输压气站,腐蚀,内部腐蚀,6
仁安羌分输压气站,腐蚀,外部腐蚀,6
仁安羌分输压气站,腐蚀,其他腐蚀,12
仁安羌分输压气站,机械故障,支撑物故障,5
仁安羌分输压气站,机械故障,老化,4
仁安羌分输压气站,机械故障,建造缺陷,3
仁安羌分输压气站,机械故障,超压,5
仁安羌分输压气站,机械故障,材料缺陷,2
仁安羌分输压气站,机械故障,焊接不良,2
仁安羌分输压气站,机械故障,其他故障,2
仁安羌分输压气站,操作失误,关闭,1
仁安羌分输压气站,操作失误,压力测试,2
仁安羌分输压气站,操作失误,清管作业,2
仁安羌分输压气站,操作失误,阀门操作,1
仁安羌分输压气站,操作失误,维修/保养,2
仁安羌分输压气站,操作失误,报废,2
仁安羌分输压气站,操作失误,日常操作,0
仁安羌分输压气站,操作失误,启动,1
仁安羌分输压气站,操作失误,其他操作,3
仁安羌分输压气站,自然灾害,低温天气,5
仁安羌分输压气站,自然灾害,侵蚀,1
仁安羌分输压气站,自然灾害,暴雨,0
仁安羌分输压气站,自然灾害,泥石流,2
仁安羌分输压气站,自然灾害,洪水,9
仁安羌分输压气站,自然灾害,闪电,3
仁安羌分输压气站,自然灾害,其他灾害,5
眉缪压气站,设备故障,泵/压缩机,2
眉缪压气站,设备故障,阀门,3
眉缪压气站,设备故障,其他设备故障,0
眉缪压气站,第三方活动,高压电,2
眉缪压气站,第三方活动,重压,6
眉缪压气站,第三方活动,河运,10
眉缪压气站,第三方活动,除挖掘外的运输/其他设备活动,0
眉缪压气站,第三方活动,机械挖掘,2
眉缪压气站,第三方活动,其他活动,4
眉缪压气站,腐蚀,应力腐蚀,5
眉缪压气站,腐蚀,内部腐蚀,2
眉缪压气站,腐蚀,外部腐蚀,1
眉缪压气站,腐蚀,其他腐蚀,3
眉缪压气站,机械故障,支撑物故障,5
眉缪压气站,机械故障,老化,6
眉缪压气站,机械故障,建造缺陷,6
眉缪压气站,机械故障,超压,12
眉缪压气站,机械故障,材料缺陷,5
眉缪压气站,机械故障,焊接不良,4
眉缪压气站,机械故障,其他故障,3
眉缪压气站,操作失误,关闭,5
眉缪压气站,操作失误,压力测试,2
眉缪压气站,操作失误,清管作业,2
眉缪压气站,操作失误,阀门操作,2
眉缪压气站,操作失误,维修/保养,1
眉缪压气站,操作失误,报废,2
眉缪压气站,操作失误,日常操作,2
眉缪压气站,操作失误,启动,1
眉缪压气站,操作失误,其他操作,2
眉缪压气站,自然灾害,低温天气,2
眉缪压气站,自然灾害,侵蚀,0
眉缪压气站,自然灾害,暴雨,1
眉缪压气站,自然灾害,泥石流,3
眉缪压气站,自然灾害,洪水,5
眉缪压气站,自然灾害,闪电,1
眉缪压气站,自然灾害,其他灾害,0
南坎计量压气站,设备故障,泵/压缩机,2
南坎计量压气站,设备故障,阀门,9
南坎计量压气站,设备故障,其他设备故障,3
南坎计量压气站,第三方活动,高压电,5
南坎计量压气站,第三方活动,重压,2
南坎计量压气站,第三方活动,河运,3
南坎计量压气站,第三方活动,除挖掘外的运输/其他设备活动,0
南坎计量压气站,第三方活动,机械挖掘,2
南坎计量压气站,第三方活动,其他活动,6
南坎计量压气站,腐蚀,应力腐蚀,10
南坎计量压气站,腐蚀,内部腐蚀,0
南坎计量压气站,腐蚀,外部腐蚀,2
南坎计量压气站,腐蚀,其他腐蚀,4
南坎计量压气站,机械故障,支撑物故障,5
南坎计量压气站,机械故障,老化,2
南坎计量压气站,机械故障,建造缺陷,1
南坎计量压气站,机械故障,超压,3
南坎计量压气站,机械故障,材料缺陷,5
南坎计量压气站,机械故障,焊接不良,6
南坎计量压气站,机械故障,其他故障,6
南坎计量压气站,操作失误,关闭,12
南坎计量压气站,操作失误,压力测试,5
南坎计量压气站,操作失误,清管作业,4
南坎计量压气站,操作失误,阀门操作,3
南坎计量压气站,操作失误,维修/保养,5
南坎计量压气站,操作失误,报废,2
南坎计量压气站,操作失误,日常操作,2
南坎计量压气站,操作失误,启动,2
南坎计量压气站,操作失误,其他操作,1
南坎计量压气站,自然灾害,低温天气,12
南坎计量压气站,自然灾害,侵蚀,3
南坎计量压气站,自然灾害,暴雨,0
南坎计量压气站,自然灾害,泥石流,0
南坎计量压气站,自然灾害,洪水,0
南坎计量压气站,自然灾害,闪电,1
南坎计量压气站,自然灾害,其他灾害,0
